experiment,pot,rep,isolate,species,isolate_id,germination,length_in,area_in.2,shoot_mg,root_mg,length_cm,area_cm.2
1,52,1,17PR018F.1,Phytophthora sojae,12,6,54.495000000000005,1.0908333333333333,66.75,30.766666666666666,138.4173,7.037620333333333
1,53,3,16PR027C.1,Phytophthora sojae,6,8,48.14875,1.13875,63.2,27.4875,122.297825,7.346759499999999
1,54,1,18PR011,Phytophthora sojae,25,7,17.204285714285714,0.5688571428571428,61.15714285714286,21.714285714285715,43.698885714285716,3.670038742857143
1,55,2,18PR004,Phytophthora sansomeana,18,7,61.044285714285714,1.2182857142857144,59.75714285714286,34.32857142857143,155.05248571428572,7.859892114285715
1,56,2,18PR013,Phytophthora sojae,27,6,14.37,0.35683333333333334,40.63333333333333,12.766666666666666,36.4998,2.302145933333333
1,57,3,17PR018F.2,Phytophthora sojae,13,7,55.521428571428565,1.2061428571428572,53.15714285714286,32.3,141.02442857142856,7.781551257142858
1,58,3,16PR009.1,Phytophthora sojae,1,6,11.313333333333333,0.2705,30.3,9.866666666666667,28.735866666666666,1.7451578
1,59,1,18PR017,Phytophthora sojae,31,7,16.92142857142857,0.45542857142857146,46.785714285714285,16.642857142857142,42.98042857142857,2.9382429714285716
1,60,2,17PR018H.1,Phytophthora sojae,14,4,43.045,0.9185,60.525,27.475,109.3343,5.9257946
1,61,3,18PR014,Phytophthora sojae,28,7,18.785714285714285,0.5137142857142857,43.028571428571425,17.442857142857143,47.715714285714284,3.3142790857142854
1,62,3,18PR013,Phytophthora sojae,27,8,11.4975,0.2455,21.5,8.725,29.203650000000003,1.5838678
1,63,3,18PR010,Phytophthora sojae,24,7,19.490000000000002,0.5025714285714286,41.15714285714286,9.657142857142857,49.5046,3.2423898285714285
1,64,2,16PR027C.2,Phytophthora sojae,7,7,53.537142857142854,1.1295714285714287,65.64285714285714,30.214285714285715,135.98434285714285,7.287543028571429
1,65,3,18PR001,Phytophthora sojae,16,6,61.07833333333334,1.1495,63.31666666666666,34.9,155.13896666666668,7.4161142
1,66,2,16PR009.2,Phytophthora sojae,2,7,49.20428571428572,1.0462857142857143,68.02857142857142,24.82857142857143,124.97888571428572,6.750216914285714
1,67,2,Control Agar,Control Agar,Control Agar,5,30.918,0.9074,57.1,29.98,78.53171999999999,5.85418184
1,68,3,18PR012,Phytophthora sojae,26,7,16.60857142857143,0.5315714285714286,56.457142857142856,11.457142857142857,42.185771428571435,3.4294862285714287
1,69,2,18PR008,Phytophthora sojae,22,7,21.104285714285712,0.7562857142857142,41.9,19.957142857142856,53.60488571428571,4.879252914285714
1,70,3,16PR024C.1,Phytophthora sansomeana,4,6,33.42,0.9394999999999999,48.63333333333333,25.116666666666664,84.88680000000001,6.061278199999999
1,71,2,18PR017,Phytophthora sojae,31,7,28.384285714285713,0.7911428571428571,32.114285714285714,2.685714285714286,72.0960857142857,5.104137257142857
1,72,3,18PR016,Phytophthora sojae,30,6,16.243333333333332,0.4748333333333334,30.78333333333333,13.4,41.258066666666664,3.0634347333333336
1,73,2,17PR018F.1,Phytophthora sojae,12,4,12.87,0.37175,27.2,18.6,32.6898,2.3983823
1,74,3,Control Agar,Control Agar,Control Agar,7,32.2,0.9852857142857143,84.32857142857142,47.042857142857144,81.78800000000001,6.356669314285715
1,75,2,18PR007,Phytophthora sojae,21,6,18.151666666666667,0.6531666666666667,94.05,22.083333333333332,46.10523333333334,4.213970066666667
1,76,3,16PR018B.1,Phytophthora sansomeana,3,8,29.22375,0.883875,40.55,26.4625,74.228325,5.70240795
1,77,3,17PR018J.3,Phytophthora sojae,15,7,38.04571428571428,0.8528571428571429,43.18571428571429,22.214285714285715,96.63611428571429,5.502293142857143
1,78,2,18PR011,Phytophthora sojae,25,5,6.444,0.2242,32.78,14.86,16.36776,1.44644872
1,79,3,18PR008,Phytophthora sojae,22,5,11.786,0.40599999999999997,51.9,8.18,29.93644,2.6193495999999996
1,80,1,17PR009A.1,Phytophthora sojae,9,5,14.278,0.4638,79.12,23.06,36.26612,2.99225208
1,81,3,18PR009,Phytophthora sojae,23,6,5.286666666666666,0.2125,54.300000000000004,3.6999999999999997,13.428133333333331,1.370965
1,82,3,Control None,Control None,Control None,8,22.3125,0.713875,67.6875,21.3625,56.67375,4.60563595
1,83,3,18PR017,Phytophthora sojae,31,3,4.8133333333333335,0.13966666666666666,36.93333333333333,6.5,12.225866666666667,0.9010734666666667
1,84,3,16PR024C.2,Phytophthora sansomeana,5,8,22.06125,0.66375,52.55,22.3875,56.035575,4.2822495
1,85,3,18PR005,Phytophthora sansomeana,19,7,27.304285714285715,0.8615714285714285,51.48571428571428,30.185714285714287,69.35288571428572,5.558514228571428
1,86,3,18PR006,Phytophthora sojae,20,9,10.96888888888889,0.426,31.15555555555555,14.488888888888889,27.86097777777778,2.7483816
1,87,3,18PR003,Phytophthora sansomeana,17,7,22.509999999999998,0.7571428571428571,69.64285714285714,19.042857142857144,57.175399999999996,4.884782857142857
1,88,3,17PR013G.3,Phytophthora sojae,11,4,16.92,0.68625,140.225,13.125,42.976800000000004,4.427410500000001
1,89,2,17PR009A.1,Phytophthora sojae,9,6,8.945,0.21966666666666668,28.349999999999998,13.9,22.7203,1.4172014666666668
1,90,3,16PR009.2,Phytophthora sojae,2,4,27.2,0.6435,98.05,19.575,69.088,4.1516046
1,91,3,17PR018F.1,Phytophthora sojae,12,7,13.571428571428571,0.25257142857142856,38.9,11.742857142857144,34.47142857142857,1.6294898285714285
1,92,3,16PR027C.2,Phytophthora sojae,7,7,10.835714285714285,0.2784285714285714,29.099999999999998,12.228571428571428,27.522714285714287,1.7963097714285714
1,93,3,17PR009A.1,Phytophthora sojae,9,3,17.676666666666666,0.4086666666666667,118.83333333333333,2.966666666666667,44.89873333333333,2.6365538666666666
1,94,3,18PR004,Phytophthora sansomeana,18,8,40.0475,0.924625,49.5625,24.7375,101.72065,5.96531065
1,95,3,18PR007,Phytophthora sojae,21,5,11.158,0.2664,38.260000000000005,15.080000000000002,28.34132,1.7187062400000002
1,96,3,17PR009A.2,Phytophthora sojae,10,8,12.9875,0.313125,43.8875,14.3125,32.98825,2.02015725
1,97,3,18PR011,Phytophthora sojae,25,7,5.932857142857143,0.17257142857142857,42.528571428571425,8.6,15.069457142857145,1.1133618285714286
1,98,3,17PR018H.1,Phytophthora sojae,14,6,12.958333333333334,0.5121666666666667,50.9,14.883333333333333,32.91416666666667,3.3042944666666667
1,99,3,17PR006L.1,Phytophthora sansomeana,8,6,36.645,1.0436666666666665,57.36666666666667,37.06666666666667,93.07830000000001,6.733319866666665
2,1,1,18PR017,Phytophthora sojae,31,7,14.4,0.20485714285714285,46.91428571428571,12.328571428571427,36.576,1.3216563428571428
2,2,1,16PR024C.1,Phytophthora sansomeana,4,6,52.56333333333333,0.7615,102.16666666666667,38.68333333333333,133.51086666666666,4.9128934
2,3,1,18PR005,Phytophthora sansomeana,19,7,61.46857142857142,1.002142857142857,80.02857142857144,37.214285714285715,156.13017142857143,6.465424857142856
2,4,1,16PR009.1,Phytophthora sojae,1,8,10.81125,0.223625,41.475,10.2875,27.460575,1.44273905
2,5,1,18PR008,Phytophthora sojae,22,7,16.562857142857144,0.44885714285714284,59.48571428571428,16.242857142857144,42.069657142857146,2.8958467428571426
2,6,1,18PR014,Phytophthora sojae,28,8,21.05625,0.412,77.9875,17.5,53.482875,2.6580592
2,7,1,17PR006L.1,Phytophthora sansomeana,8,8,54.93125,1.309875,75.475,32.9875,139.525375,8.45078955
2,8,1,Control Agar,Control Agar,Control Agar,7,NA,NA,89.21428571428571,38.65714285714286,NA,NA
2,9,1,18PR010,Phytophthora sojae,24,7,NA,NA,39.728571428571435,8.185714285714285,NA,NA
2,10,1,18PR001,Phytophthora sojae,16,8,NA,NA,77.175,16.375,NA,NA
2,11,1,16PR024C.2,Phytophthora sansomeana,5,8,NA,NA,90.975,39.6625,NA,NA
2,12,2,Control Agar,Control Agar,Control Agar,8,NA,NA,102.3125,41.45,NA,NA
2,13,2,18PR005,Phytophthora sansomeana,19,8,NA,NA,89.2625,39.85,NA,NA
2,14,1,18PR012,Phytophthora sojae,26,8,22.51875,0.375625,70.05,22.475,57.197625,2.42338225
2,15,1,18PR009,Phytophthora sojae,23,6,13.116666666666667,0.1665,64.2,11.933333333333332,33.31633333333333,1.0741914000000001
2,16,1,16PR027C.2,Phytophthora sojae,7,8,13.49375,0.204125,42.225,18.1625,34.274125,1.31693285
2,17,1,17PR018F.2,Phytophthora sojae,13,7,14.141428571428571,0.2765714285714286,59.67142857142857,14.114285714285714,35.91922857142857,1.7843282285714286
2,18,1,17PR018H.1,Phytophthora sojae,14,6,15.233333333333334,0.23966666666666667,39.449999999999996,14.583333333333334,38.69266666666667,1.5462334666666666
2,19,1,16PR009.2,Phytophthora sojae,2,5,3.5060000000000002,0.0438,37.64,5.46,8.905240000000001,0.28258008
2,20,1,17PR009A.1,Phytophthora sojae,9,7,29.77285714285714,0.4764285714285714,55.05714285714286,14.485714285714286,75.62305714285714,3.0737265714285713
2,21,2,18PR017,Phytophthora sojae,31,7,23.34714285714286,0.3138571428571429,65.4,19.97142857142857,59.30174285714286,2.024880742857143
2,22,2,17PR006L.1,Phytophthora sansomeana,8,5,50.926,0.6162,99.5,45.519999999999996,129.35204000000002,3.9754759199999996
2,23,2,18PR008,Phytophthora sojae,22,6,19.606666666666666,0.26166666666666666,54.11666666666667,21.066666666666666,49.80093333333333,1.6881686666666667
2,24,1,17PR013G.3,Phytophthora sojae,11,7,49.35285714285715,0.6895714285714286,101.77142857142857,39.34285714285714,125.35625714285716,4.448839028571429
2,25,2,16PR009.1,Phytophthora sojae,1,6,8.331666666666667,0.10666666666666667,49.43333333333334,9.066666666666666,21.162433333333336,0.6881706666666667
2,26,2,18PR009,Phytophthora sojae,23,5,14.296000000000001,0.2024,47,14.219999999999999,36.311840000000004,1.30580384
2,27,1,18PR011,Phytophthora sojae,25,8,7.65375,0.10225,56.2375,9.5375,19.440525,0.6596761
2,28,2,18PR011,Phytophthora sojae,25,8,14.7425,0.208375,44.9625,15.125,37.445949999999996,1.34435215
2,29,1,18PR004,Phytophthora sansomeana,18,8,39.49,0.573375,104.6625,36.2875,100.30460000000001,3.6991861499999996
2,30,1,16PR027C.1,Phytophthora sojae,6,7,31.337142857142858,0.4722857142857143,50.57142857142857,25.32857142857143,79.59634285714286,3.0469985142857143
2,31,3,16PR009.1,Phytophthora sojae,1,6,22.8,0.33283333333333337,80.98333333333333,20.033333333333335,57.912000000000006,2.1473075333333336
2,32,2,17PR018H.1,Phytophthora sojae,14,7,42.097142857142856,0.6785714285714286,64.64285714285714,37,106.92674285714286,4.377871428571429
2,33,1,17PR009A.2,Phytophthora sojae,10,7,12.285714285714286,0.1902857142857143,40.07142857142857,15.542857142857143,31.205714285714286,1.2276473142857145
