date,time,room_temperature,heating_target,cooling_target,outside_temperature,experiment
2019/10/27, 23:00:00,75.4,75,80,53.9,2
2019/10/27, 23:15:00,75.3,75,80,53.8,2
2019/10/27, 23:30:00,75.3,75,80,53.8,2
2019/10/27, 23:45:00,75,75,80,53.5,2
2019/10/28, 00:00:00,74.8,75,80,53.2,2
2019/10/28, 00:15:00,75,75,80,52.9,2
2019/10/28, 00:30:00,75.1,75,80,52.8,2
2019/10/28, 00:45:00,74.5,75,80,52.8,2
2019/10/28, 01:00:00,74.9,75,80,52.6,2
2019/10/28, 01:15:00,75.1,75,80,52.7,2
2019/10/28, 01:30:00,75,75,80,52.9,2
2019/10/28, 01:45:00,74.9,75,80,52.8,2
2019/10/28, 02:00:00,74.9,75,80,52.6,2
2019/10/28, 02:15:00,75.1,75,80,52.4,2
2019/10/28, 02:30:00,75.2,75,80,52.4,2
2019/10/28, 02:45:00,75.1,75,80,52.4,2
2019/10/28, 03:00:00,75.2,75,80,52.3,2
2019/10/28, 03:15:00,75.4,75,80,52.1,2
2019/10/28, 03:30:00,75.2,75,80,51.8,2
2019/10/28, 03:45:00,75.1,75,80,51.7,2
2019/10/28, 04:00:00,75.2,75,80,52.1,2
2019/10/28, 04:15:00,75.4,75,80,52.5,2
2019/10/28, 04:30:00,75.4,75,80,52.5,2
2019/10/28, 04:45:00,75.4,75,80,52,2
2019/10/28, 05:00:00,75.3,75,80,52,2
2019/10/28, 05:15:00,75.1,75,80,51.7,2
2019/10/28, 05:30:00,75.1,75,80,50.9,2
2019/10/28, 05:45:00,75.2,75,80,50.5,2
2019/10/28, 06:00:00,75.3,75,80,50.3,2
2019/10/28, 06:15:00,75.3,75,80,50.2,2
2019/10/28, 06:30:00,75,75,80,50.2,2
2019/10/28, 06:45:00,75.1,75,80,50.3,2
2019/10/28, 07:00:00,75.3,75,80,50.2,2
2019/10/28, 07:15:00,75.7,75,80,50.4,2
2019/10/28, 07:30:00,75.7,75,80,50.5,2
2019/10/28, 07:45:00,75.4,75,80,50.9,2
2019/10/28, 08:00:00,75.4,75,80,51.5,2
2019/10/28, 08:15:00,75.4,75,80,52.3,2
2019/10/28, 08:30:00,74.9,75,80,53,2
2019/10/28, 08:45:00,74.7,75,80,53.6,2
2019/10/28, 09:00:00,74.8,75,80,53.6,2
2019/10/28, 09:15:00,75,75,80,53.9,2
2019/10/28, 09:30:00,74.5,75,80,54,2
2019/10/28, 09:45:00,74.9,75,80,54,2
2019/10/28, 10:00:00,74.8,75,80,54.3,2
2019/10/28, 10:15:00,75,75,80,54.6,2
2019/10/28, 10:30:00,74.9,75,80,54.8,2
2019/10/28, 10:45:00,75.2,75,80,55,2
2019/10/28, 11:00:00,75.3,75,80,55.3,2
2019/10/28, 11:15:00,75.4,75,80,55.5,2
2019/10/28, 11:30:00,75.2,75,80,55.8,2
2019/10/28, 11:45:00,75.1,75,80,56.1,2
2019/10/28, 12:00:00,75.5,75,80,56.3,2
2019/10/28, 12:15:00,75.1,75,80,56.5,2
2019/10/28, 12:30:00,75.1,75,80,56.8,2
2019/10/28, 12:45:00,75.4,75,80,56.9,2
2019/10/28, 13:00:00,76,75,80,57.2,2
2019/10/28, 13:15:00,76.2,75,80,57.1,2
2019/10/28, 13:30:00,76.4,75,80,57.3,2
2019/10/28, 13:45:00,76.8,75,80,57.7,2
2019/10/28, 14:00:00,77.1,75,80,58,2
2019/10/28, 14:15:00,77.3,75,80,58.2,2
2019/10/28, 14:30:00,77.4,75,80,58.4,2
2019/10/28, 14:45:00,77.5,75,80,58.4,2
2019/10/28, 15:00:00,77.5,75,80,58.6,2
2019/10/28, 15:15:00,77.3,75,80,58.5,2
2019/10/28, 15:30:00,77.1,75,80,58.4,2
2019/10/28, 15:45:00,76.6,75,80,58.2,2
2019/10/28, 16:00:00,76.5,75,80,58,2
2019/10/28, 16:15:00,76.1,75,80,57.9,2
2019/10/28, 16:30:00,76,75,80,57.8,2
2019/10/28, 16:45:00,76.2,75,80,57.8,2
2019/10/28, 17:00:00,76.5,75,80,57.6,2
2019/10/28, 17:15:00,76.5,75,80,57.6,2
2019/10/28, 17:30:00,76.6,75,80,57.6,2
2019/10/28, 17:45:00,76.5,75,80,57.6,2
2019/10/28, 18:00:00,76.5,75,80,57.5,2
2019/10/28, 18:15:00,76.6,75,80,57.4,2
2019/10/28, 18:30:00,76.6,75,80,57.3,2
2019/10/28, 18:45:00,76.5,75,80,57.2,2
2019/10/28, 19:00:00,76.6,75,80,57.2,2
2019/10/28, 19:15:00,76.3,75,80,57.3,2
2019/10/28, 19:30:00,76.3,75,80,57.1,2
2019/10/28, 19:45:00,76.4,75,80,57.1,2
2019/10/28, 20:00:00,76.1,75,80,57.2,2
2019/10/28, 20:15:00,76.2,75,80,56.9,2
2019/10/28, 20:30:00,76.1,75,80,56.7,2
2019/10/28, 20:45:00,76.1,75,80,56.3,2
2019/10/28, 21:00:00,76,75,80,56.5,2
2019/10/28, 21:15:00,76.1,75,80,56.2,2
2019/10/28, 21:30:00,76,75,80,55.9,2
2019/10/28, 21:45:00,75.9,75,80,55.8,2
2019/10/28, 22:00:00,75.8,75,80,55.8,2
2019/10/28, 22:15:00,75.8,75,80,55.8,2
2019/10/28, 22:30:00,75.6,75,80,55.9,2
2019/10/28, 22:45:00,75.8,75,80,55.6,2
2019/10/28, 23:00:00,75.6,75,80,55.5,2
2019/10/28, 23:15:00,75.6,75,80,55.7,2
2019/10/28, 23:30:00,75.5,75,80,55.8,2
2019/10/28, 23:45:00,75.5,75,80,55.7,2
2019/10/29, 00:00:00,75,75,80,55.8,2
2019/10/29, 00:15:00,74.9,75,80,56,2
2019/10/29, 00:30:00,75.1,75,80,56.1,2
2019/10/29, 00:45:00,74.5,75,80,56.2,2
2019/10/29, 01:00:00,74.8,75,80,56.2,2
2019/10/29, 01:15:00,75,75,80,56.1,2
2019/10/29, 01:30:00,75,75,80,55.9,2
2019/10/29, 01:45:00,75.3,75,80,55.9,2
2019/10/29, 02:00:00,75,75,80,55.9,2
2019/10/29, 02:15:00,74.9,75,80,55.7,2
2019/10/29, 02:30:00,75.1,75,80,55.9,2
2019/10/29, 02:45:00,75.5,75,80,56.1,2
2019/10/29, 03:00:00,75.7,75,80,56.3,2
2019/10/29, 03:15:00,75.4,75,80,56.4,2
2019/10/29, 03:30:00,75.5,75,80,56.5,2
2019/10/29, 03:45:00,75.4,75,80,56.5,2
2019/10/29, 04:00:00,75.5,75,80,56.6,2
2019/10/29, 04:15:00,75.3,75,80,54,2
2019/10/29, 04:30:00,74.8,75,80,51.3,2
2019/10/29, 04:45:00,74.7,75,80,49.7,2
2019/10/29, 05:00:00,75.1,75,80,49,2
2019/10/29, 05:15:00,75.1,75,80,48.5,2
2019/10/29, 05:30:00,74.7,75,80,47.2,2
2019/10/29, 05:45:00,74.9,75,80,46.8,2
2019/10/29, 06:00:00,75.1,75,80,46.6,2
2019/10/29, 06:15:00,75,75,80,46.3,2
2019/10/29, 06:30:00,75,75,80,45.5,2
2019/10/29, 06:45:00,74.9,75,80,45.4,2
2019/10/29, 07:00:00,75.4,75,80,45,2
2019/10/29, 07:15:00,76.2,75,80,44.8,2
2019/10/29, 07:30:00,75.7,75,80,45.5,2
2019/10/29, 07:45:00,74.9,75,80,45.3,2
2019/10/29, 08:00:00,75.3,75,80,44.9,2
2019/10/29, 08:15:00,74.8,75,80,45.1,2
2019/10/29, 08:30:00,74.8,75,80,45.3,2
2019/10/29, 08:45:00,74.9,75,80,45.2,2
2019/10/29, 09:00:00,74.8,75,80,45.7,2
2019/10/29, 09:15:00,74.8,75,80,46,2
2019/10/29, 09:30:00,74.5,75,80,46.9,2
2019/10/29, 09:45:00,74.4,75,80,45.9,2
2019/10/29, 10:00:00,75.1,75,80,45.8,2
2019/10/29, 10:15:00,75,75,80,46,2
2019/10/29, 10:30:00,75.5,75,80,45.7,2
2019/10/29, 10:45:00,75.3,75,80,45.8,2
2019/10/29, 11:00:00,74.6,75,80,46.5,2
2019/10/29, 11:15:00,75,75,80,46.6,2
2019/10/29, 11:30:00,75.4,75,80,45.6,2
2019/10/29, 11:45:00,75.3,75,80,45.2,2
2019/10/29, 12:00:00,75.3,75,80,45.3,2
2019/10/29, 12:15:00,75.4,75,80,45.3,2
2019/10/29, 12:30:00,75,75,80,45.4,2
2019/10/29, 12:45:00,74.7,75,80,45.4,2
2019/10/29, 13:00:00,74.5,75,80,45.8,2
2019/10/29, 13:15:00,74.9,75,80,46.1,2
2019/10/29, 13:30:00,75,75,80,46.3,2
2019/10/29, 13:45:00,75.1,75,80,46.3,2
2019/10/29, 14:00:00,75.3,75,80,46.3,2
2019/10/29, 14:15:00,75.1,75,80,45.9,2
2019/10/29, 14:30:00,75,75,80,46,2
2019/10/29, 14:45:00,75.4,75,80,46.1,2
2019/10/29, 15:00:00,75.1,75,80,47.3,2
2019/10/29, 15:15:00,75.2,75,80,47.3,2
2019/10/29, 15:30:00,75.3,75,80,47.2,2
2019/10/29, 15:45:00,75.2,75,80,47.6,2
2019/10/29, 16:00:00,75.6,75,80,47.9,2
2019/10/29, 16:15:00,75.5,75,80,47.5,2
2019/10/29, 16:30:00,75.7,75,80,47.8,2
2019/10/29, 16:45:00,76.1,75,80,47.6,2
2019/10/29, 17:00:00,76.3,75,80,47.8,2
2019/10/29, 17:15:00,75.9,75,80,47.8,2
2019/10/29, 17:30:00,75.7,75,80,47.7,2
2019/10/29, 17:45:00,74.9,75,80,47.4,2
2019/10/29, 18:00:00,75.4,75,80,47.4,2
2019/10/29, 18:15:00,75.4,75,80,47.4,2
2019/10/29, 18:30:00,75.4,75,80,47.6,2
2019/10/29, 18:45:00,75.1,75,80,47.7,2
2019/10/29, 19:00:00,75,75,80,47.8,2
2019/10/29, 19:15:00,74.8,75,80,47.7,2
2019/10/29, 19:30:00,75.1,75,80,47.6,2
2019/10/29, 19:45:00,74.9,75,80,47.2,2
2019/10/29, 20:00:00,74.8,75,80,47.1,2
2019/10/29, 20:15:00,74.5,75,80,46.7,2
2019/10/29, 20:30:00,75,75,80,46.4,2
2019/10/29, 20:45:00,75.1,75,80,46.3,2
2019/10/29, 21:00:00,75,75,80,46.1,2
2019/10/29, 21:15:00,74.8,75,80,45.9,2
2019/10/29, 21:30:00,74.8,75,80,45.8,2
2019/10/29, 21:45:00,75,75,80,45.6,2
2019/10/29, 22:00:00,75.1,75,80,45.6,2
2019/10/29, 22:15:00,75.5,75,80,45.2,2
