experiment,pot,rep,isolate,species,isolate_id,emergence,germination,shoot.mg,root.mg
3,20,1,18PR009,Phytophthora sojae,23,NA,7,113.9,40.3
3,21,2,16PR018B.1,Phytophthora sansomeana,3,NA,6,275.2,86.9
3,22,2,17PR018J.3,Phytophthora sojae,15,NA,5,92.3,33.7
3,23,2,18PR012,Phytophthora sojae,26,NA,7,242.4,45.4
3,24,1,18PR017,Phytophthora sojae,31,NA,5,69.9,19.9
3,25,2,18PR007,Phytophthora sojae,21,NA,7,319.2,69.1
3,26,2,16PR009.1,Phytophthora sojae,1,NA,6,107.6,23.6
3,27,2,16PR024C.1,Phytophthora sansomeana,4,NA,7,381,122.3
3,28,1,17PR018H.1,Phytophthora sojae,14,NA,7,231.4,73.1
3,29,2,16PR024C.2,Phytophthora sansomeana,5,NA,7,391.8,152.5
3,30,2,18PR012,Phytophthora sojae,26,NA,5,230.5,62
3,31,2,18PR015,Phytophthora sojae,29,NA,6,246.7,98.6
3,32,2,17PR018H.1,Phytophthora sojae,14,NA,6,327.5,85.2
3,33,1,18PR013,Phytophthora sojae,27,NA,8,176.3,65.2
3,34,1,17PR006L.1,Phytophthora sansomeana,8,NA,7,436.2,148.4
3,35,1,17PR009A.1,Phytophthora sojae,9,NA,6,185.9,78.3
3,36,1,Control Agar,Control Agar,Control Agar,NA,8,637.2,204.8
3,37,1,17PR018F.2,Phytophthora sojae,13,NA,8,371.6,103.6
3,38,3,18PR012,Phytophthora sojae,26,NA,6,148.9,95.9
3,39,2,17PR009A.2,Phytophthora sojae,10,NA,8,198.5,50.9
3,40,2,17PR018F.2,Phytophthora sojae,13,NA,7,254.9,91.5
3,41,1,18PR016,Phytophthora sojae,30,NA,7,207.8,86.1
3,42,1,18PR014,Phytophthora sojae,28,NA,6,98.2,60.2
3,43,2,17PR018J.3,Phytophthora sojae,15,NA,7,157.8,50.5
3,44,3,18PR015,Phytophthora sojae,29,NA,7,267.4,96.1
3,45,2,18PR017,Phytophthora sojae,31,NA,7,141.3,46.6
3,46,1,17PR013G.3,Phytophthora sojae,11,NA,7,274.2,139.7
3,47,1,18PR006,Phytophthora sojae,20,NA,7,228.5,119.6
3,48,1,Control None,Control None,Control None,NA,6,481.5,134.2
3,49,2,16PR027C.2,Phytophthora sojae,7,NA,4,142.7,75.1
3,50,2,16PR027C.1,Phytophthora sojae,6,NA,7,269.3,75.5
3,51,2,18PR010,Phytophthora sojae,24,NA,6,230.5,47.4
3,52,3,16PR024C.2,Phytophthora sansomeana,5,NA,5,369.3,159.7
3,53,2,18PR008,Phytophthora sojae,22,NA,7,272.9,69.8
3,54,2,18PR013,Phytophthora sojae,27,NA,7,252,141.8
3,55,3,16PR009.2,Phytophthora sojae,2,NA,5,206.3,84.9
3,56,2,18PR014,Phytophthora sojae,28,NA,5,199.7,78.5
3,57,1,18PR011,Phytophthora sojae,25,NA,6,141.5,89.8
3,58,2,16PR009.1,Phytophthora sojae,1,NA,6,182.7,54.2
3,59,2,18PR006,Phytophthora sojae,20,NA,8,214.3,119.2
3,60,1,18PR005,Phytophthora sansomeana,19,NA,8,346.2,172.3
3,61,3,17PR018F.1,Phytophthora sojae,12,NA,7,156.6,95.9
3,62,2,18PR011,Phytophthora sojae,25,NA,4,84.5,77.6
3,63,1,18PR001,Phytophthora sojae,16,NA,7,174.2,74.4
3,64,2,17PR006L.1,Phytophthora sansomeana,8,NA,6,298.5,163.5
3,65,3,17PR018J.3,Phytophthora sojae,15,NA,6,107.1,186.4
3,66,3,18PR008,Phytophthora sojae,22,NA,7,241.7,92.2
3,67,3,18PR014,Phytophthora sojae,28,NA,6,204.7,104.3
3,68,2,18PR005,Phytophthora sansomeana,19,NA,9,474.2,174.8
3,69,2,18PR001,Phytophthora sojae,16,NA,7,192.1,91.4
3,70,3,16PR027C.2,Phytophthora sojae,7,NA,4,238.2,98.5
3,71,3,18PR006,Phytophthora sojae,20,NA,5,103.3,38
3,72,3,18PR013,Phytophthora sojae,27,NA,7,156.7,52.1
3,73,3,Control Agar,Control Agar,Control Agar,NA,5,363.9,102.1
3,74,3,18PR011,Phytophthora sojae,25,NA,6,118.3,35.5
3,75,3,Control Agar,Control Agar,Control Agar,NA,8,556.2,231.8
3,76,3,17PR018F.2,Phytophthora sojae,13,NA,6,136.6,37.5
3,77,3,18PR017,Phytophthora sojae,31,NA,6,103.6,37.2
3,78,3,16PR024C.1,Phytophthora sansomeana,4,NA,6,337.2,130.4
3,79,2,Control None,Control None,Control None,NA,6,299.2,91.8
3,80,3,16PR009.1,Phytophthora sojae,1,NA,5,90.2,45.4
3,81,3,18PR001,Phytophthora sojae,16,NA,7,115.2,139.1
3,82,2,17PR013G.3,Phytophthora sojae,11,NA,6,262.2,119.7
3,83,3,18PR004,Phytophthora sansomeana,18,NA,3,195.3,95.5
3,84,3,16PR018B.1,Phytophthora sansomeana,3,NA,6,459.3,148.9
3,85,2,18PR016,Phytophthora sojae,30,NA,7,172.3,72.3
3,86,3,18PR016,Phytophthora sojae,30,NA,6,131.5,116.2
3,87,3,17PR013G.3,Phytophthora sojae,11,NA,5,229.1,86.5
3,88,3,16PR027C.1,Phytophthora sojae,6,NA,6,144.8,51.4
3,89,2,17PR009A.1,Phytophthora sojae,9,NA,5,153.2,105.6
3,90,3,17PR018H.1,Phytophthora sojae,14,NA,8,266.3,62.3
3,91,3,17PR006L.1,Phytophthora sansomeana,8,NA,6,429.9,158.3
3,92,3,18PR007,Phytophthora sojae,21,NA,5,57,42.2
3,93,3,17PR009A.1,Phytophthora sojae,9,NA,5,94.5,91.1
3,94,3,17PR009A.2,Phytophthora sojae,10,NA,7,185.3,50.9
3,95,3,Control None,Control None,Control None,NA,6,398.8,173.6
3,96,3,18PR005,Phytophthora sansomeana,19,NA,7,397.7,153.2
3,97,3,18PR010,Phytophthora sojae,24,NA,7,133.2,43.6
3,98,2,18PR009,Phytophthora sojae,23,NA,6,104.6,72.2
3,99,3,18PR009,Phytophthora sojae,23,NA,5,158.4,29.6
