PC_ID,Submit_Date,County,Genus_confirmation,PBNIC,plate_name,morfological_assesment,morfological_date,days_store
201800377,2018-06-18T00:00:00Z,Cumberland,Confirmed,2018-06-26T00:00:00Z,201800377_1,Unknown,NA,8
201800377,2018-06-18T00:00:00Z,Cumberland,Confirmed,2018-06-26T00:00:00Z,201800377_2,Unknown,NA,8
201800378,2018-06-18T00:00:00Z,Cumberland,Confirmed,2018-06-26T00:00:00Z,201800378_1,Rizopus,NA,8
201800378,2018-06-18T00:00:00Z,Cumberland,Confirmed,2018-06-26T00:00:00Z,201800378_2,Rizopus,NA,8
201800378,2018-06-18T00:00:00Z,Cumberland,Confirmed,2018-06-26T00:00:00Z,201800378_3,Rizopus,NA,8
201800378,2018-06-18T00:00:00Z,Cumberland,Confirmed,2018-06-26T00:00:00Z,201800378_4,Rizopus,NA,8
201800382,2018-06-18T00:00:00Z,Dewitt,Confirmed,2018-06-28T00:00:00Z,201800382,Unknown,NA,10
201800382,2018-06-18T00:00:00Z,Dewitt,Confirmed,2018-06-28T00:00:00Z,201800382_1,Unknown,NA,10
201800383,2018-06-18T00:00:00Z,Champaign,Confirmed,2018-06-27T00:00:00Z,201800383,Unknown,NA,9
201800384,2018-06-18T00:00:00Z,Champaign,Confirmed,2018-06-27T00:00:00Z,201800384,Unknown,NA,9
201800389,2018-06-19T00:00:00Z,Vermilion,Confirmed,2018-06-26T00:00:00Z,201800389_1,NA,2018-06-29T00:00:00Z,7
201800389,2018-06-19T00:00:00Z,Vermilion,Confirmed,2018-06-26T00:00:00Z,201800389_1,Fusarium,NA,7
201800389,2018-06-19T00:00:00Z,Vermilion,Confirmed,2018-06-26T00:00:00Z,201800389_1,Unknown,NA,7
201800389,2018-06-19T00:00:00Z,Vermilion,Confirmed,2018-06-26T00:00:00Z,201800389_2,Unknown,2018-06-29T00:00:00Z,7
201800389,2018-06-19T00:00:00Z,Vermilion,Confirmed,2018-06-26T00:00:00Z,201800389_2,Unknown,NA,7
201800389,2018-06-19T00:00:00Z,Vermilion,Confirmed,2018-06-26T00:00:00Z,201800389_3,Unknown,NA,7
201800389,2018-06-19T00:00:00Z,Vermilion,Confirmed,2018-06-26T00:00:00Z,201800389_4,Unknown,NA,7
201800391,2018-06-19T00:00:00Z,Iroquois,Confirmed,2018-06-28T00:00:00Z,201800391_1,NA,NA,9
201800391,2018-06-19T00:00:00Z,Iroquois,Confirmed,2018-06-28T00:00:00Z,201800391_2,Unknown,NA,9
201800392,2018-06-19T00:00:00Z,Champaign,Confirmed,2018-06-28T00:00:00Z,201800392_2,Unknown,NA,9
201800401,2018-06-19T00:00:00Z,Ford,Confirmed,2018-06-26T00:00:00Z,201800401_1,n/a,NA,7
201800401,2018-06-19T00:00:00Z,Ford,Confirmed,2018-06-26T00:00:00Z,201800401_2,Unknown,NA,7
201800401,2018-06-19T00:00:00Z,Ford,Confirmed,2018-06-26T00:00:00Z,201800401_3,Rizopus,NA,7
201800401,2018-06-19T00:00:00Z,Ford,Confirmed,2018-06-26T00:00:00Z,201800401_4,Fusarium,NA,7
201800403,2018-06-19T00:00:00Z,Cumberland,Confirmed,2018-06-28T00:00:00Z,201800403,Unknown,NA,9
201800403,2018-06-19T00:00:00Z,Cumberland,Confirmed,2018-06-28T00:00:00Z,201800403,Unknown,NA,9
201800404,2018-06-19T00:00:00Z,Fayette,Confirmed,2018-06-26T00:00:00Z,201800404,Fusarium,NA,7
201800404,2018-06-19T00:00:00Z,Fayette,Confirmed,2018-06-27T00:00:00Z,201800404_1,Rizopus,NA,8
201800404,2018-06-19T00:00:00Z,Fayette,Confirmed,2018-06-27T00:00:00Z,201800404_2,Unknown,NA,8
201800408,2018-06-20T00:00:00Z,Jasper,Confirmed,2018-06-26T00:00:00Z,201800408,Unknown,NA,6
201800410,2018-06-20T00:00:00Z,Jasper,Confirmed,2018-06-28T00:00:00Z,201800410,Unknown,NA,8
201800410,2018-06-20T00:00:00Z,Jasper,Confirmed,2018-06-28T00:00:00Z,201800410,NA,NA,8
201800415,2018-06-20T00:00:00Z,Mclean,Confirmed,2018-06-27T00:00:00Z,201800415,Unknown,NA,7
201800416,2018-06-20T00:00:00Z,Livingston,Confirmed,2018-06-28T00:00:00Z,201800416_1,Fusarium,NA,8
201800416,2018-06-20T00:00:00Z,Livingston,Confirmed,2018-06-28T00:00:00Z,201800416_1,Unknown,NA,8
201800416,2018-06-20T00:00:00Z,Livingston,Confirmed,2018-06-28T00:00:00Z,201800416_2,Unknown,NA,8
201800421,2018-06-20T00:00:00Z,Edgar,Confirmed,2018-06-26T00:00:00Z,201800421_1,Rizopus,NA,6
201800442,2018-06-21T00:00:00Z,Jasper,Confirmed,2018-06-28T00:00:00Z,201800442,Unknown,NA,7
201800443,2018-06-21T00:00:00Z,Jasper,Confirmed,2018-06-27T00:00:00Z,201800443_1,Unknown,NA,6
201800443,2018-06-21T00:00:00Z,Jasper,Confirmed,2018-06-27T00:00:00Z,201800443_3,Unknown,NA,6
201800443,2018-06-21T00:00:00Z,Jasper,Confirmed,2018-06-27T00:00:00Z,201800443_4,Unknown,NA,6
201800443,2018-06-21T00:00:00Z,Jasper,Confirmed,2018-06-27T00:00:00Z,201800443_5,Unknown,NA,6
201800447,2018-06-21T00:00:00Z,Mclean,Confirmed,2018-06-28T00:00:00Z,201800447,Pythium spp,NA,7
201800447,2018-06-21T00:00:00Z,Mclean,Confirmed,2018-06-28T00:00:00Z,201800447,Unknown,NA,7
201800453,2018-06-21T00:00:00Z,Effingham,Confirmed,2018-06-26T00:00:00Z,201800453_1,Unknown,NA,5
201800453,2018-06-21T00:00:00Z,Effingham,Confirmed,2018-06-26T00:00:00Z,201800453_2,Unknown,NA,5
201800465,2018-06-22T00:00:00Z,Clinton,Confirmed,2018-06-28T00:00:00Z,201800465,NA,NA,6
201800466,2018-06-22T00:00:00Z,Clark,Confirmed,2018-06-26T00:00:00Z,201800466_1,Pythium spp,2018-06-29T00:00:00Z,4
201800466,2018-06-22T00:00:00Z,Clark,Confirmed,2018-06-26T00:00:00Z,201800466_1,Unknown,NA,4
201800466,2018-06-22T00:00:00Z,Clark,Confirmed,2018-06-26T00:00:00Z,201800466_2,Rizopus,NA,4
