isolate,estimate,std.error,df,conf.low,conf.high,agg_parameter,species
16PR027C.1,53.2952513227516,8.094287258668775,7.033987330411872,34.1740351458767,72.41646749962649,Shoot dry weigth,Phytophthora sojae
16PR027C.2,41.228571428571705,8.094287258668773,7.033987330411861,22.107355251696802,60.34978760544661,Shoot dry weigth,Phytophthora sojae
17PR009A.1,46.035145502645776,8.094287258668775,7.03398733041187,26.913929325770876,65.15636167952067,Shoot dry weigth,Phytophthora sojae
17PR009A.2,42.87019400352761,8.094287258668771,7.033987330411886,23.748977826652727,61.99141018040249,Shoot dry weigth,Phytophthora sojae
17PR013G.3,71.15605820105849,8.09428725866877,7.033987330411872,52.0348420241836,90.27727437793337,Shoot dry weigth,Phytophthora sojae
17PR018F.1,36.98425925925954,8.09428725866877,7.033987330411859,17.86304308238465,56.10547543613443,Shoot dry weigth,Phytophthora sojae
17PR018F.2,48.9236992945329,8.094287258668771,7.0339873304118665,29.80248311765801,68.04491547140779,Shoot dry weigth,Phytophthora sojae
17PR018H.1,47.84212962962991,8.094287258668773,7.033987330411865,28.720913452755013,66.9633458065048,Shoot dry weigth,Phytophthora sojae
17PR018J.3,37.82373015873043,8.094287258668773,7.033987330411867,18.702513981855535,56.94494633560532,Shoot dry weigth,Phytophthora sojae
18PR001,47.15018518518546,8.094287258668778,7.0339873304118665,28.028969008310547,66.27140136206037,Shoot dry weigth,Phytophthora sojae
18PR006,40.92891093474456,8.094287258668775,7.0339873304118665,21.80769475786966,60.05012711161946,Shoot dry weigth,Phytophthora sojae
18PR007,45.44908730158757,8.09428725866877,7.033987330411863,26.32787112471268,64.57030347846245,Shoot dry weigth,Phytophthora sojae
18PR008,42.65105820105847,8.094287258668773,7.033987330411863,23.529842024183573,61.772274377933364,Shoot dry weigth,Phytophthora sojae
18PR009,39.174497354497625,8.094287258668771,7.03398733041187,20.053281177622733,58.29571353137251,Shoot dry weigth,Phytophthora sojae
18PR010,38.17407407407435,8.09428725866877,7.0339873304118665,19.05285789719946,57.295290250949236,Shoot dry weigth,Phytophthora sojae
18PR011,36.14658730158757,8.094287258668778,7.033987330411877,17.025371124712667,55.26780347846248,Shoot dry weigth,Phytophthora sojae
18PR012,45.39744268077629,8.09428725866877,7.033987330411874,26.276226503901402,64.51865885765118,Shoot dry weigth,Phytophthora sojae
18PR013,33.854656084656355,8.094287258668771,7.0339873304118825,14.733439907781474,52.97587226153124,Shoot dry weigth,Phytophthora sojae
18PR014,44.836873897707505,8.094287258668775,7.033987330411872,25.715657720832606,63.9580900745824,Shoot dry weigth,Phytophthora sojae
18PR015,48.35297619047646,8.094287258668771,7.0339873304118825,29.23176001360158,67.47419236735135,Shoot dry weigth,Phytophthora sojae
18PR016,36.76111111111139,8.094287258668773,7.033987330411872,17.639894934236494,55.882327287986286,Shoot dry weigth,Phytophthora sojae
18PR017,34.771851851852134,8.094287258668775,7.033987330411874,15.650635674977238,53.89306802872703,Shoot dry weigth,Phytophthora sojae
Control Agar,83.45670634920663,8.094287258668771,7.033987330411863,64.33549017233173,102.57792252608152,Shoot dry weigth,Control Agar
Control None,61.041798941799215,8.094287258668777,7.033987330411872,41.920582764924305,80.16301511867412,Shoot dry weigth,Control None
16PR009.1,7.025011000638168,3.1938045957643157,2.792700662579022,1.552604931275079,31.78579338824969,Root length,Phytophthora sojae
16PR009.2,9.250434048902322,4.2055562298075,2.7927006625790067,2.0444479758757748,41.85507829145705,Root length,Phytophthora sojae
16PR027C.1,21.972849155427436,9.989590992564688,2.792700662579007,4.856242068486279,99.41969391111137,Root length,Phytophthora sojae
