isolate,species,estimate,std.error,df,statistic,p.value,agg_component
18PR015,Phytophthora sojae,18.277182539684674,3.1715781566163255,5.986924084324091,5.762803764288794,0.001199666358895812,Root weight
18PR016,Phytophthora sojae,14.035185185187318,3.1715781566163237,5.986924084324091,4.425300116255404,0.004468885773586567,Root weight
18PR017,Phytophthora sojae,9.318412698414834,3.171578156616325,5.986924084324102,2.9380996583594863,0.026078478890090212,Root weight
Control Agar,Control Agar,83.4567063492063,7.906022605412592,7.596058014923362,10.556092553045634,8.31392507834345e-6,Shoot weight
Control None,Control None,61.041798941798874,7.906022605412634,7.596058014923397,7.720923906795857,7.442164703167502e-5,Shoot weight
16PR018B.1,Phytophthora sansomeana,70.77208994708988,7.906022605412638,7.5960580149233845,8.951668048436611,2.6745267911147333e-5,Shoot weight
16PR024C.1,Phytophthora sansomeana,72.38333333333327,7.906022605412632,7.5960580149233765,9.155467539869933,2.2836832774584548e-5,Shoot weight
16PR024C.2,Phytophthora sansomeana,73.450119047619,7.906022605412637,7.5960580149233765,9.290400839144255,2.0602563363483834e-5,Shoot weight
17PR006L.1,Phytophthora sansomeana,68.72129629629623,7.9060226054126375,7.596058014923388,8.69227166758265,3.2848162863620445e-5,Shoot weight
18PR003,Phytophthora sansomeana,77.63013227513221,7.906022605412631,7.59605801492337,9.819113370860459,1.3929156426038153e-5,Shoot weight
18PR004,Phytophthora sansomeana,67.34087301587296,7.906022605412633,7.596058014923388,8.517667653741585,3.7832244437014195e-5,Shoot weight
18PR005,Phytophthora sansomeana,66.25944003527349,7.906022605412641,7.59605801492345,8.380881682517677,4.233114167897462e-5,Shoot weight
16PR009.1,Phytophthora sojae,43.879444444445284,7.906022605412752,7.596058014923918,5.550128887109912,6.483121345282349e-4,Shoot weight
16PR009.2,Phytophthora sojae,47.17085978835973,7.906022605412636,7.596058014923391,5.966446359015661,4.104166458204165e-4,Shoot weight
16PR027C.1,Phytophthora sojae,53.295251322751255,7.906022605412637,7.596058014923409,6.741095236214497,1.8539347294913228e-4,Shoot weight
16PR027C.2,Phytophthora sojae,41.22857142857137,7.906022605412632,7.596058014923401,5.214830956889171,9.525649595437691e-4,Shoot weight
17PR009A.1,Phytophthora sojae,46.03514550264544,7.906022605412636,7.596058014923397,5.822794570702185,4.7935136743206403e-4,Shoot weight
17PR009A.2,Phytophthora sojae,42.870194003527274,7.906022605412633,7.596058014923408,5.422472985869964,7.492566663601744e-4,Shoot weight
17PR013G.3,Phytophthora sojae,71.15605820105814,7.906022605412631,7.596058014923389,9.000234599929325,2.5749997346066357e-5,Shoot weight
17PR018F.1,Phytophthora sojae,36.984259259259204,7.906022605412632,7.596058014923389,4.677985518778936,0.0018222492472181697,Shoot weight
17PR018F.2,Phytophthora sojae,48.92369929453257,7.906022605412634,7.596058014923409,6.188155756225431,3.2458254604972157e-4,Shoot weight
17PR018H.1,Phytophthora sojae,47.842129629629575,7.906022605412636,7.596058014923393,6.051352496371034,3.7488157920267435e-4,Shoot weight
17PR018J.3,Phytophthora sojae,37.8237301587301,7.9060226054126375,7.596058014923395,4.784166710178028,0.001597591540442956,Shoot weight
18PR001,Phytophthora sojae,47.15018518518512,7.90602260541263,7.596058014923378,5.963831314231901,4.115688090573022e-4,Shoot weight
18PR006,Phytophthora sojae,40.92891093474422,7.906022605412637,7.596058014923393,5.176928144212918,9.958732873781326e-4,Shoot weight
18PR007,Phytophthora sojae,45.449087301587234,7.906022605412638,7.596058014923393,5.748666500203501,5.198661253916474e-4,Shoot weight
18PR008,Phytophthora sojae,42.651058201058135,7.906022605412633,7.596058014923399,5.394755407334442,7.733950879523784e-4,Shoot weight
18PR009,Phytophthora sojae,39.17449735449729,7.906022605412633,7.5960580149234005,4.95501964890381,0.0012971965081591363,Shoot weight
18PR010,Phytophthora sojae,38.174074074074014,7.906022605412632,7.596058014923404,4.828480258573916,0.0015129628799081503,Shoot weight
18PR011,Phytophthora sojae,36.14658730158724,7.906022605412636,7.596058014923408,4.572031868064796,0.002081327470540969,Shoot weight
18PR012,Phytophthora sojae,45.39744268077595,7.906022605412631,7.596058014923399,5.742134186372791,5.236140989892524e-4,Shoot weight
18PR013,Phytophthora sojae,33.85465608465603,7.906022605412636,7.596058014923395,4.282134996866615,0.003019812556515818,Shoot weight
18PR014,Phytophthora sojae,44.83687389770717,7.906022605412636,7.596058014923401,5.671230166608791,5.662761691560173e-4,Shoot weight
18PR015,Phytophthora sojae,48.352976190476134,7.906022605412636,7.596058014923404,6.115967358526477,3.5012184918510554e-4,Shoot weight
18PR016,Phytophthora sojae,36.761111111111056,7.906022605412633,7.596058014923386,4.649760435284312,0.0018876322561008963,Shoot weight
18PR017,Phytophthora sojae,34.7718518518518,7.906022605412637,7.596058014923391,4.398147284330585,0.0025980331702118273,Shoot weight
