isolate,species,estimate,std.error,df,conf.low,conf.high,measurement
17PR018F.1,Phytophthora sojae,15.076058201060333,3.1715781566163255,5.986924084324088,7.311375518216931,22.840740883903734,Root dry weigth
17PR018F.2,Phytophthora sojae,17.480048500883967,3.1715781566163272,5.986924084324104,9.715365818040564,25.24473118372737,Root dry weigth
17PR018H.1,Phytophthora sojae,16.75403439153652,3.171578156616327,5.986924084324096,8.989351708693118,24.518717074379925,Root dry weigth
17PR018J.3,Phytophthora sojae,17.9271957671979,3.171578156616326,5.986924084324103,10.1625130843545,25.6918784500413,Root dry weigth
18PR001,Phytophthora sojae,20.868015873018003,3.1715781566163246,5.986924084324103,13.103333190174606,28.6326985558614,Root dry weigth
18PR006,Phytophthora sojae,15.893209876545342,3.1715781566163255,5.9869240843241025,8.128527193701942,23.657892559388742,Root dry weigth
18PR007,Phytophthora sojae,14.329576719578851,3.171578156616326,5.986924084324091,6.564894036735447,22.094259402422253,Root dry weigth
18PR008,Phytophthora sojae,13.261005291007423,3.171578156616326,5.986924084324101,5.496322608164022,21.025687973850825,Root dry weigth
18PR009,Phytophthora sojae,10.868796296298427,3.171578156616327,5.986924084324105,3.104113613455027,18.633478979141827,Root dry weigth
18PR010,Phytophthora sojae,9.661706349208483,3.1715781566163264,5.986924084324102,1.897023666365083,17.426389032051883,Root dry weigth
18PR011,Phytophthora sojae,13.700648148150282,3.171578156616328,5.986924084324102,5.935965465306878,21.465330830993686,Root dry weigth
18PR012,Phytophthora sojae,13.934700176368976,3.1715781566163246,5.986924084324091,6.170017493525576,21.699382859212378,Root dry weigth
18PR013,Phytophthora sojae,14.155343915346052,3.1715781566163246,5.986924084324096,6.390661232502653,21.92002659818945,Root dry weigth
18PR014,Phytophthora sojae,16.179320987656453,3.171578156616326,5.986924084324097,8.414638304813053,23.944003670499853,Root dry weigth
18PR015,Phytophthora sojae,18.277182539684674,3.1715781566163255,5.986924084324091,10.512499856841272,26.041865222528074,Root dry weigth
18PR016,Phytophthora sojae,14.035185185187318,3.1715781566163237,5.986924084324091,6.27050250234392,21.799867868030717,Root dry weigth
18PR017,Phytophthora sojae,9.318412698414834,3.171578156616325,5.986924084324102,1.5537300155714373,17.083095381258232,Root dry weigth
Control Agar,Control Agar,83.4567063492063,7.906022605412592,7.596058014923362,65.05524385074071,101.85816884767189,Shoot dry weigth
Control None,Control None,61.041798941798874,7.906022605412634,7.596058014923397,42.640336443333204,79.44326144026454,Shoot dry weigth
